parent,term,tree
O.R.Tambo District Municipality (DC15),Ngquza Hill Local Municipality (EC153),regions
O.R.Tambo District Municipality (DC15),Nyandeni Local Municipality (EC155),regions
O.R.Tambo District Municipality (DC15),Port St Johns Local Municipality (EC154),regions
Overberg District Municipality (DC3),Cape Agulhas Local Municipality (WC033),regions
Overberg District Municipality (DC3),Overstrand Local Municipality (WC032),regions
Overberg District Municipality (DC3),Swellendam Local Municipality (WC034),regions
Overberg District Municipality (DC3),Theewaterskloof Local Municipality (WC031),regions
Pixley ka Seme District Municipality (DC7),Emthanjeni Local Municipality (NC073),regions
Pixley ka Seme District Municipality (DC7),Kareeberg Local Municipality (NC074),regions
Pixley ka Seme District Municipality (DC7),Renosterberg Local Municipality (NC075),regions
Pixley ka Seme District Municipality (DC7),Siyancuma Local Municipality (NC078),regions
Pixley ka Seme District Municipality (DC7),Siyathemba Local Municipality (NC077),regions
Pixley ka Seme District Municipality (DC7),Thembelihle Local Municipality (NC076),regions
Pixley ka Seme District Municipality (DC7),Ubuntu Local Municipality (NC071),regions
Pixley ka Seme District Municipality (DC7),Umsobomvu Local Municipality (NC072),regions
Sedibeng District Municipality (DC42),Emfuleni Local Municipality (GT421),regions
Sedibeng District Municipality (DC42),Lesedi Local Municipality (GT423),regions
Sedibeng District Municipality (DC42),Midvaal Local Municipality (GT422),regions
Sekhukhune District Municipality (DC47),Elias Motsoaledi Local Municipality (LIM472),regions
Sekhukhune District Municipality (DC47),Ephraim Mogale Local Municipality (LIM471),regions
Sekhukhune District Municipality (DC47),Greater Tubatse/Fetakgomo Local Municipality (LIM476),regions
Sekhukhune District Municipality (DC47),Makhuduthamaga Local Municipality (LIM473),regions
Thabo Mofutsanyane District Municipality (DC19),Dihlabeng Local Municipality (FS192),regions
Thabo Mofutsanyane District Municipality (DC19),Maluti a Phofung Local Municipality (FS194),regions
Thabo Mofutsanyane District Municipality (DC19),Mantsopa Local Municipality (FS196),regions
Thabo Mofutsanyane District Municipality (DC19),Nketoana Local Municipality (FS193),regions
Thabo Mofutsanyane District Municipality (DC19),Phumelela Local Municipality (FS195),regions
Thabo Mofutsanyane District Municipality (DC19),Setsoto Local Municipality (FS191),regions
Ugu District Municipality (DC21),Ray Nkonyeni Local Municipality (KZN216),regions
Ugu District Municipality (DC21),Umdoni Local Municipality (KZN212),regions
Ugu District Municipality (DC21),UMuziwabantu Local Municipality (KZN214),regions
Ugu District Municipality (DC21),Umzumbe Local Municipality (KZN213),regions
Umgungundlovu District Municipality (DC22),Impendle Local Municipality (KZN224),regions
Umgungundlovu District Municipality (DC22),Mkhambathini Local Municipality (KZN226),regions
Umgungundlovu District Municipality (DC22),Mpofana Local Municipality (KZN223),regions
Umgungundlovu District Municipality (DC22),Richmond Local Municipality (KZN227),regions
Umgungundlovu District Municipality (DC22),The Msunduzi Local Municipality (KZN225),regions
Umgungundlovu District Municipality (DC22),uMngeni Local Municipality (KZN222),regions
Umgungundlovu District Municipality (DC22),uMshwathi Local Municipality (KZN221),regions
Umkhanyakude District Municipality (DC27),Big Five Hlabisa Local Municipality (KZN276),regions
Umkhanyakude District Municipality (DC27),Jozini Local Municipality (KZN272),regions
Umkhanyakude District Municipality (DC27),Mtubatuba Local Municipality (KZN275),regions
Umkhanyakude District Municipality (DC27),Umhlabuyalingana Local Municipality (KZN271),regions
Umzinyathi District Municipality (DC24),Endumeni Local Municipality (KZN241),regions
Umzinyathi District Municipality (DC24),Msinga Local Municipality (KZN244),regions
Umzinyathi District Municipality (DC24),Nqutu Local Municipality (KZN242),regions
Umzinyathi District Municipality (DC24),Umvoti Local Municipality (KZN245),regions
Uthukela District Municipality (DC23),Alfred Duma Local Municipality (KZN238),regions
Uthukela District Municipality (DC23),Inkosi Langalibalele Local Municipality (KZN237),regions
Uthukela District Municipality (DC23),Okhahlamba Local Municipality (KZN235),regions
Uthungulu District Municipality (DC28),Mfolozi Local Municipality (KZN281),regions
Uthungulu District Municipality (DC28),Mthonjaneni Local Municipality (KZN285),regions
Uthungulu District Municipality (DC28),Nkandla Local Municipality (KZN286),regions
Uthungulu District Municipality (DC28),uMhlathuze Local Municipality (KZN282),regions
